Date,Open,High,Low,Close,Adj Close,Volume
2007-10-01,236.875000,239.375000,231.587494,238.168747,168.363663,12118896
2007-10-03,240.000000,251.862503,238.750000,250.193756,176.864243,26572224
2007-10-04,251.250000,251.250000,245.250000,249.862503,176.630081,14354928
2007-10-05,250.000000,250.000000,246.949997,247.862503,175.216248,8433464
2007-10-08,250.000000,253.125000,248.000000,250.456253,177.049835,8695752
2007-10-09,248.125000,256.500000,248.125000,255.925003,180.915741,13053992
2007-10-10,261.831238,267.743744,257.500000,265.631256,187.777161,22305808
2007-10-11,262.500000,262.500000,245.375000,247.106247,174.681656,35483448
2007-10-12,245.625000,246.862503,237.975006,241.212494,170.515289,20546200
2007-10-15,245.975006,245.975006,239.250000,240.975006,170.347458,14805752
2007-10-16,232.662506,241.250000,230.012497,233.293747,164.917496,20676272
2007-10-17,225.000000,238.500000,223.125000,236.287506,167.033783,16105088
2007-10-18,237.500000,243.750000,232.100006,236.250000,167.539078,18871056
2007-10-19,237.500000,241.250000,234.518753,238.706253,169.280914,11118784
2007-10-22,232.250000,238.774994,232.250000,235.843750,167.250992,10683432
2007-10-23,237.500000,239.699997,233.750000,235.431244,166.958435,12346344
2007-10-24,237.625000,239.750000,229.137497,230.562500,163.505722,11446248
2007-10-25,231.375000,234.475006,228.125000,229.631256,162.845322,12955840
2007-10-26,229.375000,231.875000,228.000000,231.031250,163.838135,8279104
2007-10-29,237.500000,237.500000,231.899994,232.574997,164.932907,5328480
2007-10-30,233.750000,235.500000,229.949997,231.774994,164.365570,5996440
2007-10-31,233.687500,235.643753,227.262497,229.681244,162.880768,10025528
2007-11-01,233.956253,235.000000,229.500000,234.243744,166.116318,9522528
2007-11-02,231.250000,241.250000,227.625000,239.643753,169.945755,10208808
2007-11-05,237.500000,241.087494,230.043747,231.750000,164.347839,6211480
2007-11-06,231.250000,234.375000,231.250000,231.468750,164.148422,4517832
2007-11-07,231.418747,231.418747,216.875000,218.237503,154.765320,23151400
2007-11-08,214.837494,218.125000,212.875000,214.543747,152.145874,15705240
2007-11-12,209.375000,209.375000,201.268753,205.231247,145.541840,25324832
2007-11-13,203.125000,211.637497,200.875000,203.393753,144.238739,23517112
2007-11-14,210.000000,216.250000,207.000000,213.493744,151.401215,16262008
2007-11-15,212.500000,212.500000,204.750000,205.912506,146.024948,13053800
2007-11-16,205.912506,208.000000,202.250000,203.125000,144.048157,9711528
2007-11-19,206.250000,206.250000,202.000000,202.493744,143.600510,14441160
2007-11-20,200.875000,202.500000,194.168747,195.712494,138.791473,22736872
2007-11-21,193.125000,198.375000,192.500000,193.387497,137.142715,16523872
2007-11-22,193.743744,195.012497,189.875000,191.449997,135.768707,12576744
2007-11-23,193.750000,200.587494,191.712494,194.687500,138.064621,16680696
2007-11-26,195.625000,199.681244,195.625000,196.993744,139.700134,9515520
2007-11-27,196.993744,198.250000,195.343750,196.706253,139.496246,11749864
2007-11-28,198.625000,199.375000,194.875000,196.162506,139.110641,9458944
2007-11-29,200.625000,201.750000,193.750000,195.906250,138.928894,24061072
2007-11-30,196.750000,203.112503,196.750000,200.312500,142.053650,27369392
2007-12-03,200.312500,204.000000,198.574997,200.043747,141.863083,20101040
2007-12-04,199.812500,203.462494,198.850006,201.912506,143.188324,11367656
2007-12-05,202.462494,202.462494,198.812500,200.437500,142.142319,9996752
2007-12-06,201.412506,206.125000,201.412506,204.418747,144.965607,14144400
2007-12-07,206.250000,218.662506,203.781250,215.287506,152.673325,21737160
2007-12-10,217.437500,220.962494,212.500000,218.587494,155.013535,12426168
2007-12-11,218.587494,219.875000,213.375000,218.037506,154.623505,8444392
2007-12-12,213.750000,215.000000,207.125000,210.718750,149.433350,12351000
2007-12-13,211.750000,212.362503,206.531250,207.493744,147.146286,6652856
2007-12-14,206.500000,209.337494,204.762497,205.787506,145.936295,4281176
2007-12-17,206.250000,207.375000,201.500000,203.043747,143.990540,7347000
2007-12-18,191.706253,209.375000,191.706253,202.243744,143.423218,8413376
2007-12-19,204.324997,206.250000,204.018753,204.925003,145.324646,5297880
2007-12-20,205.875000,215.000000,205.587494,211.943756,150.302048,15204048
2007-12-24,214.800003,227.375000,213.750000,226.268753,160.460739,16365336
2007-12-26,227.500000,228.193756,221.250000,227.225006,161.138901,4604376
2007-12-27,228.000000,229.850006,224.018753,225.300003,159.773788,8358504
2007-12-28,221.250000,226.250000,213.762497,224.531250,159.228607,4784160
2007-12-31,225.125000,225.625000,219.887497,221.237503,156.892792,5272944
